generation,rank_1,rank_2,swapAccepted
1322000,2,3,1
1323000,2,3,1
1324000,1,3,1
1325000,2,4,1
1326000,2,4,1
1327000,1,4,1
1328000,1,3,1
1329000,1,3,0
1330000,1,4,1
1331000,2,4,1
1332000,3,4,1
1333000,1,2,1
1334000,1,4,1
1335000,2,3,1
1336000,3,4,1
1337000,1,2,1
1338000,1,3,1
1339000,1,2,1
1340000,2,3,1
1341000,1,4,1
1342000,1,4,1
1343000,2,4,1
1344000,1,3,1
1345000,1,4,1
1346000,1,2,1
1347000,1,3,1
1348000,1,4,1
1349000,2,4,1
1350000,3,4,1
1351000,2,4,1
1352000,2,4,1
1353000,1,4,1
1354000,2,4,1
1355000,3,4,1
1356000,1,4,0
1357000,1,2,1
1358000,2,4,1
1359000,3,4,1
1360000,1,3,1
1361000,2,4,1
1362000,1,4,1
1363000,2,4,1
1364000,2,3,1
1365000,2,3,1
1366000,1,2,1
1367000,3,4,1
1368000,1,4,1
1369000,1,2,1
1370000,2,3,1
1371000,1,4,1
1372000,1,2,1
1373000,2,3,1
1374000,2,3,1
1375000,1,4,1
1376000,1,2,1
1377000,1,2,1
1378000,2,4,1
1379000,1,4,1
1380000,2,4,1
1381000,2,3,1
1382000,1,2,1
1383000,1,3,0
1384000,1,2,1
1385000,2,3,1
1386000,1,2,1
1387000,2,4,1
1388000,1,2,1
1389000,1,4,1
1390000,1,2,1
1391000,2,4,1
1392000,3,4,1
1393000,3,4,1
1394000,2,4,1
1395000,1,3,1
1396000,1,4,1
1397000,3,4,1
1398000,1,4,1
1399000,2,3,1
1400000,1,2,1
1401000,2,3,1
1402000,1,4,1
1403000,1,4,1
1404000,2,4,1
1405000,2,4,1
1406000,2,4,1
1407000,1,2,1
1408000,2,3,1
1409000,1,4,1
1410000,1,2,1
1411000,1,3,1
1412000,1,3,1
1413000,1,4,0
1414000,1,2,1
1415000,1,4,1
1416000,1,3,1
1417000,1,2,1
1418000,2,4,1
1419000,2,4,1
1420000,2,4,1
1421000,2,4,1
1422000,2,4,1
1423000,2,3,1
1424000,2,4,1
1425000,2,3,1
1426000,2,3,1
1427000,1,2,1
1428000,1,3,1
1429000,2,3,1
1430000,1,4,1
1431000,3,4,1
1432000,1,4,1
1433000,2,3,1
1434000,1,2,1
1435000,1,4,1
1436000,3,4,1
1437000,1,2,1
1438000,1,3,1
1439000,3,4,1
1440000,2,3,1
1441000,1,2,1
1442000,3,4,1
1443000,1,2,1
1444000,1,4,1
1445000,3,4,1
1446000,2,4,1
1447000,1,3,1
1448000,2,4,1
1449000,2,3,1
1450000,1,3,1
1451000,3,4,1
1452000,1,3,1
1453000,3,4,1
1454000,1,3,1
1455000,2,4,1
1456000,2,3,1
1457000,1,4,1
1458000,2,3,1
1459000,1,3,1
1460000,1,4,1
1461000,1,2,1
1462000,1,2,1
1463000,2,4,1
1464000,1,2,1
1465000,1,2,1
1466000,3,4,1
1467000,1,2,1
1468000,1,4,1
1469000,2,4,1
1470000,1,4,1
1471000,2,4,1
1472000,1,2,1
1473000,2,4,1
1474000,1,3,1
1475000,1,3,1
1476000,1,4,1
1477000,1,3,1
1478000,1,3,1
1479000,1,3,1
1480000,3,4,1
1481000,3,4,1
1482000,2,4,1
1483000,1,3,1
1484000,2,3,1
1485000,2,4,1
1486000,1,4,1
1487000,1,2,1
1488000,1,4,1
1489000,3,4,1
1490000,1,2,1
1491000,1,2,1
